Name,Industry,City,Phone Number,Company Domain Name,Company owner,Lead Source,Lead Source Detail,CR Number
مصنع عبدالله جلهم حمد الدوسري للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966554047179,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1017001244.0
فرع شركة معدات الإطفاء وأجهزة التحكم بالمخاطر,الالات والمعدات,المنطقة الشرقية,966565788874,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050114161.0
فرع شركة فيتونيت السعودية المحدودة - سافيتو,مواد البناء,منطقة الرياض,966504441370,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010142058.0
مصنع الشركة السعودية للمواد المتخصصة,الكيماويات المتخصصة,منطقة الرياض,966504441370,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010316336.0
مصنع ارال لمنتجات الالمنيوم والحديد,صناعة المعادن,منطقة الرياض,561664494,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010253466.0
مصنع يحي محمد سالم شيبان للخرسانة الجاهزة,مواد البناء,منطقة نجران,966558699666,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5950002073.0
مصنع ماس للمنتجات الاسمنتية,مواد البناء,منطقة جيزان,966545132355,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5900100257.0
مصنع ماجد علي سعيد معيض حويزي للبلك,مواد البناء,منطقة جيزان,966545132355,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5900024581.0
مصنع الجودة الخاصة للبلوك,مواد البناء,المنطقة الشرقية,554035354,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2057005925.0
مصنع شركة صحراء المعادن للمنتجات المعدنية,صناعة المعادن,منطقة الرياض,966533002040,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010388520.0
مصنع شركة صحراء المعادن لقطع الغيار,الالات والمعدات,منطقة الرياض,966533002040,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010475654.0
شركة النوافذ الحديثة للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966555446604,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010344161.0
مصنع زهور نجد للمشغولات الحديدية والمعدنية,صناعة المعادن,منطقة الرياض,558000016,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010362514.0
شركة مصنع نجد للأواني المنزليه المحدوده شركة شخص واحد,صناعة المعادن,منطقة الرياض,966555114167,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010044447.0
مصنع زاد لتكرير الملح,الأغذية,منطقة الرياض,966555711488,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010152456.0
مصنع زاد للمزيدات العلفية وقوالب الملح,الأغذية,منطقة الرياض,504268751,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010138880.0
مصنع بيت البركان لاجهزة الاطفاء,الالات والمعدات,منطقة الرياض,505657638,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010238617.0
مصنع الحجر الذهبي للرخام والحجر,مواد البناء,منطقة القصيم,966569935553,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1131042984.0
مصنع الإيمان للمواسير الخرسانية المسلحة,مواد البناء,المنطقة الشرقية,966544882300,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2055000556.0
شركة تقنية الشباك للاستخدامات الهندسية ( شركة لشخص واحد ),منتجات البلاستيك والمطاط,المنطقة الشرقية,966505254021,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050058049.0
مصنع محمد عثمان الظرف للبلك,مواد البناء,المنطقة الشرقية,966505946473,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2511013882.0
مصنع شركة حمومة لانتاج البلوك,مواد البناء,منطقة عسير,966557213511,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5855011343.0
مصنع الشرقية للبيوت الجاهزة والاثاث,السيارات,المنطقة الشرقية,966599964648,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050063411.0
مصنع بيت الحفلة للصناعة,الأغذية,منطقة الرياض,966500525390,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010259704.0
فرع مصنع جاس العالمية للصناعة,الكيماويات الأساسية والمتوسطة,منطقة الرياض,966591188700,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010225703.0
مصنع محمد علي المقبل لتشكيل الحديد,صناعة المعادن,منطقة الرياض,966555499994,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010157287.0
شركة الريان المتقدمة للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966531375993,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010213199.0
مصنع الخليج للمياه العذبه,الأغذية,منطقة الرياض,503101520,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1017000189.0
شركة شركة مشعل محمد الشهراني و عبدالله محمد الشهراني,الأغذية,منطقة عسير,966559777771,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5855024424.0
مصنع شركة صالح السلمان وأولاده للخبز والفطائر,الأغذية,منطقة القصيم,966555461883,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1131045045.0
المصنع العربي للصناعة,منتجات البلاستيك والمطاط,المنطقة الشرقية,966505920015,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2257028943.0
مصنع علي عبدالله العبداللطيف للتمور,الأغذية,المنطقة الشرقية,966550851211,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2250050621.0
شركة فاينتول العربية السعودية المحدودة,صناعة المعادن,منطقة مكة المكرمة,966543432149,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030054994.0
مصنع حديد الفجر للصناعات الحديديه,صناعة المعادن,منطقة الرياض,564111836,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010369946.0
مصنع محمد عبدالرحمن القرني للبلوك والخرسانة الجاهزة,مواد البناء,منطقة مكة المكرمة,966569666023,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4603006575.0
مصنع شركة عبدالهادي موسى القريني وشريكته للحديد والألمنيوم,صناعة المعادن,المنطقة الشرقية,545555366,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2252043728.0
مصنع حمد محمد بوحمد للصناعة,صناعة المعادن,المنطقة الشرقية,966555919887,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2252051803.0
مصنع الكربونات الصناعية,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966505307381,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4602005227.0
مصنع سعيد فهد الشدي للتمور,الأغذية,المنطقة الشرقية,966590065415,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2257051858.0
مصنع شركة صناعات الاغذية والعجائن الفاخره (السنبله),الأغذية,منطقة مكة المكرمة,966503358774,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030260592.0
مصنع الافق للبلك والخرسانة الجاهزة,مواد البناء,منطقة عسير,966505765045,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5851005862.0
مصنع علي راشد التمامي للتمور,الأغذية,منطقة الرياض,966555241886,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1013001835.0
مصنع أحمد محمد التازي للصناعة,مواد البناء,منطقة مكة المكرمة,966500710062,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4602003617.0
شركة مصنع مياه النفوذ,الأغذية,منطقة مكة المكرمة,966551938228,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030112452.0
مصنع عمالقة البلاستيك للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,500033977,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010353747.0
مصنع منارة الاعمال للصناعات المعدنية,صناعة المعادن,منطقة مكة المكرمة,505580459,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030195687.0
شركة صدى التفوق,مواد البناء,منطقة الرياض,966556162533,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010318513.0
مصنع قمة دماس للألواح البي في سي,منتجات البلاستيك والمطاط,منطقة الرياض,597433303,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010361506.0
مصنع حلويات ميلاء,الأغذية,منطقة القصيم,966502888422,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1131051813.0
مصنع معمول ام صالح للحلويات,الأغذية,منطقة القصيم,966502888422,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1131303696.0
شركة مصنع كروفورد السعودي للابواب,صناعة المعادن,منطقة الرياض,966532819990,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010068540.0
الشركة العربية الماليزية لتكرير الزيوت وانتاج زيت دبل اولين النخيل,الأغذية,منطقة المدينة المنورة,966582944422,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4700011632.0
مصنع أنظمة بدائل البناء,مواد البناء,منطقة مكة المكرمة,551514444,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030264132.0
شركة تقنيات الجلفنة والتصنيع,صناعة المعادن,منطقة الرياض,966506019756,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010242816.0
مصنع شركة محمد خان فيروز وشريكه للمنتجات البلاستيكية,منتجات البلاستيك والمطاط,منطقة الرياض,530029100,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010336609.0
شركة جوتن السعودية المحدودة,الكيماويات المتخصصة,منطقة مكة المكرمة,966557994509,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030121816.0
فرع شركة جوتن السعودية المحدودة,الكيماويات المتخصصة,منطقة مكة المكرمة,509618636,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030280355.0
مصنع هند عبدالله البادي للبلوك,مواد البناء,منطقة الجوف,508070021,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3401014560.0
مصنع شركة الشامل لصناعة البلاستيك,منتجات البلاستيك والمطاط,منطقة الرياض,966557906800,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010385939.0
مصنع بوابة المصمك للصناعات المعدنية والخشبية,صناعة المعادن,المنطقة الشرقية,966558500005,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050091321.0
مصنع الجودة المميزة للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966503026150,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010733424.0
مصنع سديم للبلوك والبلاط,مواد البناء,منطقة الرياض,556255669,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010315189.0
المصنع السعودي لفواصل الالمنيوم,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,566363888,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050032835.0
شركة مصنع الهاجري لعازل الحرارة والتبريد,منتجات البلاستيك والمطاط,المنطقة الشرقية,966554755380,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050034275.0
شركة كانولي للصناعات الغذائية,الأغذية,منطقة الرياض,966508135317,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010074664.0
شركة علي ومنصور  محمد الحناكي للصناعه والتجاره,منتجات البلاستيك والمطاط,منطقة المدينة المنورة,966505315006,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4650031121.0
شركة آل طاوى للتشييد والبناء المحدودة,مواد البناء,منطقة عسير,966550444721,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5851876637.0
مصنع ياسر عبدالله القاضي للمعادن,صناعة المعادن,منطقة الرياض,966508080000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010132903.0
شركة دنسو عبداللطيف جميل المحدودة,الالات والمعدات,منطقة مكة المكرمة,966555197020,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030133507.0
مصنع مزارع ارض الجوف النموذجية لتعبئة المواد الغذائية,الأغذية,منطقة الرياض,557558492,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3400013464.0
مصنع شركة الرياض للصناعات المعدنية,صناعة المعادن,منطقة الرياض,966505440584,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010239702.0
شركة الرياض للصناعات المعدنية,صناعة المعادن,منطقة الرياض,966505440584,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010078422.0
شركة أنظمة التلوين,الكيماويات المتخصصة,منطقة عسير,966565112000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5855024342.0
مصنع روافد الرمال للزيوت والكيماويات,الكيماويات المتخصصة,المنطقة الشرقية,966557469060,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2511022929.0
شركة مصنع بداية الخليج للصناعات البترولية,منتجات تكرير النفط,منطقة مكة المكرمة,966506575340,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030156175.0
مصنع شركة الخدمات الانشائية,مواد البناء,منطقة الرياض,550059567,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010012751.0
مصنع البيتموس والفيرميكيولايت السعودي,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,500234163,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050019857.0
مصنع جهاد على ال داؤود للخرسانة والبلك,مواد البناء,المنطقة الشرقية,542222123,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2056003706.0
مصنع دار الوكره للبيوت الجاهزة,صناعة المعادن,منطقة مكة المكرمة,557152080,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030177529.0
مصنع دار الوكرة للصناعات المعدنية,صناعة المعادن,منطقة مكة المكرمة,557152080,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030183530.0
مصنع ماجد البقمي للبرادات فرع شركة ماجد البقمي الصناعية,صناعة المعادن,منطقة مكة المكرمة,966565600910,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030168272.0
مصنع الثابت للصناعات المعدنية,صناعة المعادن,المنطقة الشرقية,966547765056,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050020720.0
مصنع شركة روضة الشراع للتمور,الأغذية,منطقة الرياض,505268364,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010294183.0
مصنع بلاستيك الرياض للفلم,منتجات البلاستيك والمطاط,منطقة الرياض,502913216,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010428539.0
مصنع بلاستيك الرياض للعبوات البلاستيكية,منتجات البلاستيك والمطاط,منطقة الرياض,502913216,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010429381.0
مصنع بلاستيك الرياض للالواح المعزولة,صناعة المعادن,منطقة الرياض,502913216,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010429380.0
مصنع بلاستيك الرياض للانابيب,منتجات البلاستيك والمطاط,منطقة الرياض,502913216,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010429382.0
مصنع بلاستيك الرياض لاعادةالتدوير البلاستيك,الكيماويات الأساسية والمتوسطة,منطقة الرياض,502913216,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010429496.0
مصنع علي خلوفة الاحمري للمنتجات الاسمنتيه,مواد البناء,منطقة عسير,500424343,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5854000982.0
مصنع جفت لإعاده تكرير زيوت التشحيم,الكيماويات المتخصصة,منطقة الرياض,557744651,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010232068.0
شركة التصنيع الشامل,منتجات البلاستيك والمطاط,منطقة الرياض,555221414,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010284637.0
مصنع شركة تجهيز المباني للبلك الإسمنتي,مواد البناء,منطقة الرياض,504838390,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010313305.0
شركة الرائد للمنتجات الغذائية,الأغذية,منطقة الرياض,966504763405,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010324045.0
مصنع سليمان محمد الملوحي للبوليسترين,منتجات البلاستيك والمطاط,منطقة القصيم,505133777,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1128017033.0
شركة مصنع أوراك للأجزاء الخرسانية مسبقة الصنع المحدودة,مواد البناء,منطقة الرياض,966593269995,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010242511.0
مصنع سناء المنار للبلوك,مواد البناء,منطقة تبوك,555744211,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3550027981.0
مصنع السهل الصناعي للبلاستيك,منتجات البلاستيك والمطاط,منطقة الرياض,966599744353,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010340103.0
مصنع بيت الصناعة للمعادن والزجاج,صناعة المعادن,منطقة الرياض,503009121,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010314621.0
المصنع الماسي المتطور للبلاستيك,منتجات البلاستيك والمطاط,منطقة مكة المكرمة,966505618708,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030191819.0
شركة ام كي لأنظمة حماية الكابلات السعودية المحدودة,منتجات البلاستيك والمطاط,المنطقة الشرقية,966505903286,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2055001475.0
مصنع عبد العزيز سعود التميمي للتمور,الأغذية,منطقة الرياض,966565822700,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1013000719.0
مصنع أور لأسلاك الحديد,صناعة المعادن,منطقة الرياض,966583108994,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1111002171.0
مصنع النور والبلور للثريات,الالات والمعدات,منطقة الرياض,505472872,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010139683.0
مصنع صالح سالم آل حيدر للصناعة,مواد البناء,منطقة نجران,966566606395,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5950022510.0
مصنع عبدالوهاب فهد الحازمي للحجر الصناعي,مواد البناء,منطقة حائل,544333226,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3350025426.0
مصنع نسيب عبدالله حمد البسام البسام للصناعه,السيارات,المنطقة الشرقية,966545700942,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050098160.0
مصنع شركة السعيد للزجاج,مواد البناء,منطقة جيزان,966567829829,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5900003701.0
شركة مصنع العجب العالمي للجلفنه,صناعة المعادن,المنطقة الشرقية,966509008018,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2055008356.0
مصنع الود لتعبئة وتغليف المنتجات الزراعية وبيض المائدة,الأغذية,منطقة الرياض,500999109,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1123001917.0
شركة مصنع الجزيرة لطلاء حديد التسليح,صناعة المعادن,المنطقة الشرقية,966534166622,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050054849.0
مصنع شركة صالح وعبدالله وحسين احمد البراهيم للمنتجات الاسمنتية,مواد البناء,المنطقة الشرقية,966556066681,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2051057558.0
مصانع الناصر للشوايات والافران والسخانات,الالات والمعدات,منطقة مكة المكرمة,966500677277,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4030028377.0
مصنع شركة الالياف الصناعية المحدودة,منتجات البلاستيك والمطاط,المنطقة الشرقية,966547462445,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050106054.0
شركة ميمف لمحولات الطاقة الصناعية,الالات والمعدات,منطقة الرياض,966553660000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1011013699.0
مصنع كهروبلاست للصناعات الكهروبلاستيكية,مصادر الطاقة المتجددة,منطقة الرياض,966553660000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010148099.0
شركة ميمف للصناعات الكهربائية,الالات والمعدات,منطقة الرياض,966553660000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010185944.0
مصنع ميتا لمفاتيح التشغيل,الالات والمعدات,منطقة الرياض,966553660000,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010205942.0
مصنع تاج الدانة للصناعة,منتجات البلاستيك والمطاط,منطقة الرياض,966556480888,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010368135.0
شركة مصنع سحر الريف لمستحضرات التجميل,الكيماويات المتخصصة,منطقة الرياض,966555466373,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010289217.0
مصنع عبدالكريم نهار الرمان للخرسانة الاسمنتية,مواد البناء,منطقة تبوك,505371031,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3550027885.0
مصنع الحزام الاخضر للمنتجات الاسمنتية,مواد البناء,منطقة جيزان,555785503,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5904016032.0
مصنع الكهرباء المتطورة للصناعة,الالات والمعدات,منطقة الرياض,966506954948,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010378241.0
شركه المنتجات الفولاذيه,صناعة المعادن,منطقة الرياض,966504159284,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010015183.0
مصنع شركة أحجار الزينة,مواد البناء,منطقة الرياض,966555064253,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1111002009.0
المصنع الاهلي للحوائط الجبسية فرع شركة الجبس الاهلية,مواد البناء,منطقة الرياض,554006859,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010198301.0
مصنع شركة أنظمة توزيع الطاقة الخليجية المحدودة,الالات والمعدات,المنطقة الشرقية,966558884141,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050050551.0
مصنع الشريع لصناعة هياكل السيارات,السيارات,المنطقة الشرقية,505944850,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2511020627.0
مصنع كفاح الشرق للبلاستيك,منتجات البلاستيك والمطاط,منطقة الرياض,966545166411,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010311383.0
مصنع عبيد للوحات الاعلان,صناعة المعادن,منطقة الرياض,966505232747,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010342602.0
مصنع تكوين الخرسانه للصناعه,مواد البناء,منطقة عسير,966531449535,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,5852004830.0
مصنع عبدالسلام احمدالقرني للمنتجات الاسمنية,مواد البناء,منطقة الرياض,966563234444,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010466058.0
شركة شودة نجد للخرسانة الجاهزة,مواد البناء,منطقة الرياض,966595011193,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1113002571.0
مصنع نايف ثواب ظافر السبيعي للمنتجات الاسمنتية,مواد البناء,منطقة مكة المكرمة,595311917,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4036000917.0
شركة الداخل المحدودة,مواد البناء,منطقة المدينة المنورة,966566800836,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,4700015941.0
مصنع داركم للصناعة,صناعة المعادن,منطقة الرياض,966543861555,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,1010372928.0
مصنع حائل للخرسانه الجاهزه والطابوق,مواد البناء,منطقة حائل,505156322,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,3350030184.0
مصنع الخليج للفيبرجلاس,مواد البناء,المنطقة الشرقية,966509334644,,,Factory Database - Saudi Gov,المصانع المتوافقة مع المعايير الرئيسية 4230 مصنع,2050007124.0
